distance,innsbruck,grenoble,zurich,boulder
31400.0,2617.0,2480.0,352.0,1179.0
31600.0,2587.0,2492.0,351.0,1167.0
31800.0,2328.0,2459.0,349.0,1142.0
32000.0,2270.0,2451.0,361.0,1143.0
32200.0,2210.0,2508.0,379.0,1180.0
32400.0,2111.0,2534.0,382.0,1188.0
32600.0,2060.0,2507.0,393.0,1200.0
32800.0,2047.0,2469.0,393.0,1202.0
33000.0,2081.0,2478.0,456.0,1213.0
33200.0,2125.0,2536.0,476.0,1196.0
33400.0,2147.0,2574.0,494.0,1190.0
33600.0,2070.0,2581.0,525.0,1183.0
33800.0,2109.0,2580.0,512.0,1179.0
34000.0,2110.0,2583.0,580.0,1208.0
34200.0,2121.0,2593.0,630.0,1238.0
34400.0,2076.0,2601.0,662.0,1255.0
34600.0,2024.0,2633.0,661.0,1286.0
34800.0,2000.0,2674.0,646.0,1311.0
35000.0,1993.0,2672.0,642.0,1358.0
35200.0,2020.0,2650.0,609.0,1385.0
35400.0,2042.0,2572.0,555.0,1446.0
35600.0,2045.0,2476.0,488.0,1449.0
35800.0,2089.0,2407.0,442.0,1470.0
36000.0,2106.0,2395.0,391.0,1515.0
36200.0,2110.0,2444.0,386.0,1542.0
36400.0,2139.0,2508.0,380.0,1551.0
36600.0,2144.0,2557.0,382.0,1536.0
36800.0,2174.0,2507.0,380.0,1540.0
37000.0,2182.0,2406.0,386.0,1532.0
37200.0,2148.0,2349.0,360.0,1489.0
37400.0,2139.0,2333.0,356.0,1541.0
37600.0,2151.0,2287.0,405.0,1567.0
37800.0,2149.0,2442.0,477.0,1578.0
38000.0,2124.0,2308.0,563.0,1690.0
38200.0,2188.0,2244.0,536.0,1760.0
38400.0,2281.0,2342.0,505.0,1922.0
38600.0,2088.0,2488.0,495.0,2011.0
38800.0,2096.0,2601.0,517.0,2168.0
39000.0,2106.0,2600.0,510.0,2146.0
39200.0,2106.0,2585.0,512.0,2107.0
39400.0,2114.0,2492.0,568.0,2075.0
39600.0,2154.0,2390.0,593.0,1858.0
39800.0,2113.0,2405.0,624.0,1802.0
40000.0,2123.0,2357.0,646.0,1845.0
40200.0,2120.0,2434.0,655.0,1941.0
40400.0,2126.0,2498.0,668.0,2126.0
40600.0,2115.0,2539.0,699.0,2157.0
40800.0,2144.0,2520.0,738.0,2210.0
41000.0,2180.0,2515.0,815.0,2213.0
41200.0,2270.0,2550.0,907.0,2204.0
41400.0,2328.0,2595.0,983.0,2158.0
41600.0,2394.0,2624.0,1001.0,2140.0
41800.0,2587.0,2573.0,952.0,2123.0
42000.0,2667.0,2558.0,897.0,2070.0
42200.0,2723.0,2744.0,896.0,2021.0
42400.0,2780.0,2807.0,923.0,1926.0
42600.0,2716.0,2870.0,971.0,1876.0
42800.0,2641.0,2756.0,996.0,1856.0
43000.0,2538.0,2626.0,1095.0,1859.0
43200.0,2507.0,2605.0,1300.0,1863.0
43400.0,2408.0,2584.0,1318.0,1806.0
43600.0,2367.0,2574.0,1351.0,1761.0
43800.0,2272.0,2549.0,1024.0,1747.0
44000.0,2231.0,2513.0,1037.0,1771.0
44200.0,2205.0,2499.0,1038.0,1774.0
44400.0,2219.0,2510.0,1133.0,1674.0
44600.0,2230.0,2516.0,1371.0,1601.0
44800.0,2235.0,2503.0,1426.0,1494.0
45000.0,2212.0,2480.0,1444.0,1490.0
45200.0,2239.0,2457.0,1597.0,1490.0
45400.0,2234.0,2512.0,1574.0,1372.0
45600.0,2266.0,2920.0,1395.0,1348.0
45800.0,2331.0,2791.0,1180.0,1342.0
46000.0,2256.0,2661.0,1055.0,1345.0
46200.0,2239.0,2628.0,939.0,1366.0
46400.0,2243.0,2512.0,787.0,1376.0
46600.0,2297.0,2418.0,726.0,1410.0
46800.0,2302.0,2427.0,682.0,1445.0
47000.0,2347.0,2450.0,1010.0,1492.0
47200.0,2395.0,2439.0,1133.0,1514.0
47400.0,2350.0,2435.0,1212.0,1460.0
47600.0,2401.0,2464.0,1272.0,1468.0
47800.0,2410.0,2446.0,1289.0,1494.0
48000.0,2390.0,2412.0,1302.0,1647.0
48200.0,2312.0,2414.0,1315.0,1734.0
48400.0,2269.0,2609.0,1294.0,1773.0
48600.0,2225.0,2609.0,1325.0,1813.0
48800.0,2196.0,2473.0,1525.0,1826.0
49000.0,2242.0,2486.0,1674.0,1778.0
49200.0,2257.0,2359.0,1595.0,1704.0
49400.0,2290.0,2301.0,1518.0,1737.0
49600.0,2373.0,2230.0,1412.0,1766.0
49800.0,2459.0,2218.0,1374.0,1799.0
50000.0,2531.0,2232.0,1294.0,1820.0
50200.0,2592.0,2226.0,1166.0,1836.0
50400.0,2620.0,2272.0,976.0,1850.0
50600.0,2629.0,2333.0,706.0,1847.0
50800.0,2576.0,2354.0,736.0,1832.0
51000.0,2526.0,2434.0,769.0,1828.0
51200.0,2493.0,2458.0,777.0,1825.0
51400.0,2434.0,2467.0,775.0,1820.0
51600.0,2397.0,2490.0,758.0,1831.0
51800.0,2378.0,2484.0,734.0,1844.0
52000.0,2400.0,2490.0,706.0,1862.0
52200.0,2450.0,2486.0,686.0,1871.0
52400.0,2503.0,2508.0,684.0,1859.0
52600.0,2446.0,2573.0,690.0,1854.0
52800.0,2374.0,2739.0,665.0,1857.0
53000.0,2380.0,2804.0,662.0,1851.0
53200.0,2396.0,2803.0,661.0,1851.0
53400.0,2423.0,2731.0,656.0,1856.0
53600.0,2460.0,2616.0,661.0,1959.0
53800.0,2452.0,2669.0,642.0,2059.0
54000.0,2423.0,2651.0,635.0,2106.0
54200.0,2485.0,2660.0,644.0,2164.0
54400.0,2498.0,2667.0,650.0,2253.0
54600.0,2548.0,2633.0,642.0,2273.0
54800.0,2615.0,2639.0,646.0,2279.0
55000.0,2631.0,2631.0,658.0,2219.0
55200.0,2661.0,2589.0,662.0,2146.0
55400.0,2593.0,2586.0,679.0,1903.0
55600.0,2611.0,2586.0,700.0,1907.0
55800.0,2580.0,2586.0,715.0,1903.0
56000.0,2577.0,2563.0,708.0,1897.0
56200.0,2603.0,2584.0,708.0,1888.0
56400.0,2627.0,2652.0,703.0,1887.0
56600.0,2657.0,2711.0,702.0,1898.0
56800.0,2648.0,2748.0,705.0,1916.0
57000.0,2648.0,2761.0,688.0,1938.0
57200.0,2595.0,2783.0,659.0,1958.0
57400.0,2601.0,2835.0,628.0,2001.0
57600.0,2611.0,2921.0,628.0,2161.0
57800.0,2610.0,3012.0,634.0,2192.0
58000.0,2610.0,3079.0,649.0,2206.0
58200.0,2658.0,3128.0,671.0,2217.0
58400.0,2665.0,3129.0,675.0,2105.0
58600.0,2681.0,3149.0,679.0,2084.0
58800.0,2749.0,3201.0,690.0,2100.0
59000.0,2761.0,3202.0,688.0,2106.0
59200.0,2766.0,3114.0,695.0,2098.0
59400.0,2713.0,3110.0,707.0,2099.0
59600.0,2684.0,3197.0,722.0,2103.0
59800.0,2687.0,3187.0,773.0,2125.0
60000.0,2687.0,3151.0,840.0,2144.0
60200.0,2712.0,3128.0,926.0,2161.0
60400.0,2718.0,3114.0,975.0,2187.0
60600.0,2684.0,3074.0,1107.0,2205.0
60800.0,2656.0,2959.0,1117.0,2218.0
61000.0,2680.0,2913.0,1111.0,2232.0
61200.0,2770.0,2869.0,1086.0,2240.0
61400.0,2835.0,2835.0,1114.0,2241.0
61600.0,2849.0,2841.0,1109.0,2298.0
61800.0,2815.0,2863.0,1146.0,2326.0
62000.0,2844.0,2837.0,1147.0,2318.0
62200.0,2787.0,2906.0,1046.0,2315.0
62400.0,2719.0,2892.0,1033.0,2304.0
62600.0,2705.0,2901.0,1149.0,2292.0
62800.0,2680.0,2910.0,1244.0,2328.0
63000.0,2633.0,2962.0,1261.0,2360.0
63200.0,2668.0,2925.0,1259.0,2366.0
63400.0,2693.0,2899.0,1254.0,2348.0
63600.0,2667.0,2872.0,1281.0,2335.0
63800.0,2658.0,2797.0,1226.0,2325.0
64000.0,2672.0,2776.0,1227.0,2314.0
64200.0,2671.0,2732.0,1247.0,2319.0
64400.0,2707.0,2665.0,1227.0,2320.0
64600.0,2721.0,2669.0,1172.0,2285.0
64800.0,2796.0,2672.0,1137.0,2288.0
65000.0,2869.0,2694.0,1104.0,2289.0
65200.0,2861.0,2703.0,1067.0,2282.0
65400.0,2778.0,2732.0,1024.0,2349.0
65600.0,2719.0,2588.0,983.0,2412.0
65800.0,2658.0,2513.0,937.0,2436.0
66000.0,2645.0,2490.0,898.0,2455.0
66200.0,2635.0,2443.0,922.0,2409.0
66400.0,2617.0,2417.0,979.0,2366.0
66600.0,2580.0,2416.0,1010.0,2404.0
66800.0,2578.0,2416.0,1002.0,2431.0
67000.0,2594.0,2421.0,988.0,2410.0
67200.0,2627.0,2454.0,1019.0,2342.0
67400.0,2635.0,2490.0,1032.0,2293.0
67600.0,2659.0,2594.0,1042.0,2249.0
67800.0,2625.0,2721.0,1059.0,2237.0
68000.0,2620.0,2618.0,1063.0,2238.0
68200.0,2614.0,2517.0,1081.0,2236.0
68400.0,2635.0,2464.0,1070.0,2199.0
68600.0,2589.0,2514.0,1044.0,2161.0
68800.0,2528.0,2550.0,1387.0,2152.0
69000.0,2536.0,2548.0,1350.0,2188.0
69200.0,2566.0,2491.0,1292.0,2195.0
69400.0,2548.0,2485.0,1216.0,2144.0
69600.0,2496.0,2479.0,1183.0,2151.0
69800.0,2532.0,2492.0,1145.0,2156.0
70000.0,2591.0,2507.0,1049.0,2170.0
70200.0,2627.0,2597.0,1029.0,2153.0
70400.0,2644.0,2613.0,1048.0,2158.0
70600.0,2675.0,2631.0,1160.0,2186.0
70800.0,2733.0,2594.0,1233.0,2227.0
71000.0,2747.0,2643.0,1297.0,2239.0
71200.0,2775.0,2634.0,1314.0,2257.0
71400.0,2778.0,2616.0,1328.0,2274.0
71600.0,2761.0,2566.0,1301.0,2253.0
71800.0,2715.0,2549.0,1464.0,2229.0
72000.0,2678.0,2592.0,1505.0,2203.0
72200.0,2662.0,2643.0,1612.0,2229.0
72400.0,2639.0,2632.0,1702.0,2240.0
72600.0,2623.0,2699.0,1954.0,2218.0
72800.0,2608.0,2714.0,2050.0,2181.0
73000.0,2650.0,2763.0,2157.0,2157.0
73200.0,2693.0,2755.0,2284.0,2162.0
73400.0,2750.0,2712.0,2189.0,2159.0
